               data_ora   rad  temperatura elevazione
2023-03-01 02:05:59.260  4789        40.26         25
2023-03-01 02:05:59.463  4793        40.29         25
2023-03-01 02:05:59.666  4776        40.29         25
2023-03-01 02:05:59.869  4783        40.26         25
2023-03-01 02:06:00.072  4776        40.29         25
2023-03-01 02:06:00.291  4766        40.29         25
2023-03-01 02:06:00.494  4783        40.29         25
2023-03-01 02:06:00.697  4784        40.29         25
2023-03-01 02:06:00.900  4794        40.29         25
2023-03-01 02:06:01.119  4774        40.29         25
2023-03-01 02:06:01.322  4769        40.29         25
2023-03-01 02:06:01.541  4757        40.29         25
2023-03-01 02:06:01.760  4767        40.29         25
2023-03-01 02:06:01.963  4763        40.29         25
2023-03-01 02:06:02.166  4751        40.29         25
2023-03-01 02:06:02.385  4753        40.26         25
2023-03-01 02:06:02.588  4740        40.26         25
2023-03-01 02:06:02.760  4739        40.26         25
2023-03-01 02:06:02.978  4746        40.29         25
2023-03-01 02:06:03.181  4736        40.26         25
2023-03-01 02:06:03.385  4768        40.26         25
2023-03-01 02:06:03.588  4742        40.26         25
2023-03-01 02:06:03.791  4737        40.26         25
2023-03-01 02:06:03.994  4754        40.26         25
2023-03-01 02:06:04.197  4735        40.29         25
2023-03-01 02:06:04.416  4741        40.29         25
2023-03-01 02:06:04.619  4753        40.26         25
2023-03-01 02:06:04.822  4758        40.29         25
2023-03-01 02:06:05.041  4738        40.29         25
2023-03-01 02:06:05.244  4738        40.29         25
2023-03-01 02:06:05.463  4727        40.29         25
2023-03-01 02:06:05.681  4723        40.26         25
2023-03-01 02:06:05.884  4708        40.29         25
2023-03-01 02:06:06.103  4725        40.26         25
2023-03-01 02:06:06.306  4728        40.26         25
2023-03-01 02:06:06.509  4719        40.26         25
2023-03-01 02:06:06.712  4692        40.29         25
2023-03-01 02:06:06.900  4667        40.26         25
2023-03-01 02:06:07.103  4682        40.26         25
2023-03-01 02:06:07.306  4688        40.26         25
2023-03-01 02:06:07.509  4685        40.29         25
2023-03-01 02:06:07.707  4677        40.29         25
2023-03-01 02:06:07.910  4676        40.26         25
2023-03-01 02:06:08.129  4679        40.26         25
2023-03-01 02:06:08.332  4667        40.26         25
2023-03-01 02:06:08.551  4676        40.29         25
2023-03-01 02:06:08.754  4668        40.26         25
2023-03-01 02:06:08.957  4663        40.29         25
2023-03-01 02:06:09.160  4668        40.26         25
2023-03-01 02:06:09.379  4666        40.26         25
2023-03-01 02:06:09.597  4652        40.26         25
2023-03-01 02:06:09.801  4677        40.26         25
2023-03-01 02:06:10.019  4682        40.29         25
2023-03-01 02:06:10.222  4689        40.29         25
2023-03-01 02:06:10.426  4673        40.29         25
2023-03-01 02:06:10.644  4704        40.29         25
2023-03-01 02:06:10.816  4689        40.29         25
2023-03-01 02:06:11.019  4703        40.29         25
2023-03-01 02:06:11.238  4690        40.26         25
2023-03-01 02:06:11.425  4698        40.26         25
2023-03-01 02:06:11.629  4701        40.29         25
2023-03-01 02:06:11.847  4709        40.29         25
2023-03-01 02:06:12.050  4699        40.29         25
2023-03-01 02:06:12.254  4709        40.29         25
2023-03-01 02:06:12.472  4678        40.29         25
2023-03-01 02:06:12.675  4697        40.29         25
2023-03-01 02:06:12.878  4686        40.29         25
2023-03-01 02:06:13.097  4704        40.29         25
2023-03-01 02:06:13.300  4705        40.29         25
2023-03-01 02:06:13.503  4711        40.29         25
2023-03-01 02:06:13.722  4710        40.29         25
2023-03-01 02:06:13.941  4706        40.29         25
2023-03-01 02:06:14.144  4731        40.29         25
2023-03-01 02:06:14.363  4711        40.29         25
2023-03-01 02:06:14.566  4725        40.29         25
2023-03-01 02:06:14.738  4722        40.32         25
2023-03-01 02:06:14.941  4710        40.32         25
2023-03-01 02:06:15.144  4726        40.32         25
2023-03-01 02:06:15.347  4701        40.32         25
2023-03-01 02:06:15.566  4706        40.32         25
2023-03-01 02:06:15.769  4696        40.32         25
2023-03-01 02:06:15.972  4718        40.32         25
2023-03-01 02:06:16.175  4700        40.32         25
2023-03-01 02:06:16.394  4713        40.32         25
2023-03-01 02:06:16.597  4696        40.32         25
2023-03-01 02:06:16.800  4706        40.32         25
2023-03-01 02:06:17.019  4695        40.32         25
2023-03-01 02:06:17.222  4698        40.32         25
2023-03-01 02:06:17.425  4685        40.32         25
2023-03-01 02:06:17.644  4696        40.32         25
2023-03-01 02:06:17.847  4696        40.32         25
2023-03-01 02:06:18.066  4704        40.32         25
2023-03-01 02:06:18.284  4689        40.32         25
2023-03-01 02:06:18.488  4665        40.32         25
2023-03-01 02:06:18.659  4665        40.32         25
2023-03-01 02:06:18.863  4674        40.32         25
2023-03-01 02:06:19.066  4684        40.32         25
2023-03-01 02:06:19.269  4688        40.32         25
2023-03-01 02:06:19.472  4707        40.32         25
2023-03-01 02:06:19.691  4699        40.32         25
2023-03-01 02:06:19.894  4692        40.32         25
2023-03-01 02:06:20.097  4695        40.32         25
2023-03-01 02:06:20.316  4702        40.32         25
2023-03-01 02:06:20.519  4708        40.32         25
2023-03-01 02:06:20.737  4682        40.32         25
2023-03-01 02:06:20.940  4692        40.32         25
2023-03-01 02:06:21.144  4690        40.32         25
2023-03-01 02:06:21.347  4708        40.32         25
2023-03-01 02:06:21.565  4703        40.32         25
2023-03-01 02:06:21.769  4695        40.32         25
2023-03-01 02:06:21.987  4671        40.32         25
2023-03-01 02:06:22.206  4682        40.32         25
2023-03-01 02:06:22.409  4680        40.32         25
2023-03-01 02:06:22.612  4684        40.32         25
2023-03-01 02:06:22.784  4675        40.32         25
2023-03-01 02:06:22.987  4668        40.32         25
2023-03-01 02:06:23.190  4670        40.32         25
2023-03-01 02:06:23.393  4678        40.35         25
2023-03-01 02:06:23.612  4654        40.32         25
2023-03-01 02:06:23.815  4637        40.32         25
2023-03-01 02:06:24.018  4648        40.35         25
2023-03-01 02:06:24.237  4658        40.32         25
2023-03-01 02:06:24.440  4658        40.32         25
2023-03-01 02:06:24.643  4646        40.32         25
2023-03-01 02:06:24.862  4667        40.32         25
2023-03-01 02:06:25.065  4641        40.32         25
2023-03-01 02:06:25.284  4656        40.32         25
2023-03-01 02:06:25.487  4653        40.35         25
2023-03-01 02:06:25.690  4653        40.35         25
2023-03-01 02:06:25.909  4650        40.32         25
2023-03-01 02:06:26.112  4645        40.32         25
2023-03-01 02:06:26.331  4660        40.35         25
2023-03-01 02:06:26.534  4628        40.32         25
2023-03-01 02:06:26.706  4645        40.35         25
2023-03-01 02:06:26.909  4653        40.35         25
2023-03-01 02:06:27.112  4655        40.35         25
2023-03-01 02:06:27.331  4643        40.35         25
2023-03-01 02:06:27.534  4658        40.35         25
2023-03-01 02:06:27.737  4658        40.35         25
2023-03-01 02:06:27.956  4669        40.32         25
2023-03-01 02:06:28.159  4683        40.35         25
2023-03-01 02:06:28.362  4652        40.32         25
2023-03-01 02:06:28.565  4674        40.32         25
2023-03-01 02:06:28.784  4657        40.32         25
2023-03-01 02:06:28.987  4666        40.32         25
2023-03-01 02:06:29.190  4663        40.32         25
2023-03-01 02:06:29.409  4688        40.32         25
2023-03-01 02:06:29.612  4690        40.32         25
2023-03-01 02:06:29.815  4695        40.32         25
2023-03-01 02:06:30.034  4687        40.32         25
2023-03-01 02:06:30.237  4691        40.35         25
2023-03-01 02:06:30.456  4694        40.35         25
2023-03-01 02:06:30.627  4710        40.35         25
2023-03-01 02:06:30.830  4698        40.35         25
2023-03-01 02:06:31.034  4704        40.35         25
2023-03-01 02:06:31.252  4697        40.35         25
2023-03-01 02:06:31.455  4700        40.35         25
2023-03-01 02:06:31.659  4677        40.35         25
2023-03-01 02:06:31.877  4704        40.35         25
2023-03-01 02:06:32.080  4694        40.35         25
2023-03-01 02:06:32.284  4691        40.35         25
2023-03-01 02:06:32.487  4678        40.35         25
2023-03-01 02:06:32.690  4677        40.35         25
2023-03-01 02:06:32.908  4659        40.35         25
2023-03-01 02:06:33.127  4668        40.35         25
2023-03-01 02:06:33.330  4669        40.35         25
2023-03-01 02:06:33.533  4665        40.32         25
2023-03-01 02:06:33.737  4674        40.35         25
2023-03-01 02:06:33.955  4676        40.35         25
2023-03-01 02:06:34.158  4675        40.35         25
2023-03-01 02:06:34.377  4689        40.35         25
2023-03-01 02:06:34.596  4693        40.35         25
2023-03-01 02:06:34.752  4701        40.35         25
2023-03-01 02:06:34.955  4687        40.35         25
2023-03-01 02:06:35.174  4689        40.32         25
2023-03-01 02:06:35.377  4684        40.32         25
2023-03-01 02:06:35.580  4684        40.35         25
2023-03-01 02:06:35.799  4697        40.35         25
2023-03-01 02:06:36.002  4678        40.35         25
2023-03-01 02:06:36.205  4724        40.32         25
2023-03-01 02:06:36.408  4695        40.32         25
2023-03-01 02:06:36.611  4698        40.32         25
2023-03-01 02:06:36.830  4706        40.35         25
2023-03-01 02:06:37.033  4714        40.32         25
2023-03-01 02:06:37.252  4706        40.32         25
2023-03-01 02:06:37.455  4685        40.32         25
2023-03-01 02:06:37.658  4689        40.32         25
2023-03-01 02:06:37.877  4695        40.35         25
2023-03-01 02:06:38.080  4697        40.32         25
2023-03-01 02:06:38.283  4705        40.32         25
2023-03-01 02:06:38.502  4686        40.32         25
2023-03-01 02:06:38.674  4706        40.35         25
2023-03-01 02:06:38.893  4700        40.32         25
2023-03-01 02:06:39.096  4716        40.35         25
2023-03-01 02:06:39.299  4715        40.35         25
2023-03-01 02:06:39.502  4701        40.35         25
2023-03-01 02:06:39.721  4682        40.35         25
2023-03-01 02:06:39.924  4724        40.35         25
2023-03-01 02:06:40.127  4715        40.35         25
2023-03-01 02:06:40.330  4720        40.32         25
2023-03-01 02:06:40.533  4737        40.32         25
2023-03-01 02:06:40.736  4715        40.32         25
2023-03-01 02:06:40.955  4728        40.32         25
2023-03-01 02:06:41.174  4721        40.32         25
2023-03-01 02:06:41.377  4726        40.32         25
2023-03-01 02:06:41.595  4721        40.32         25
2023-03-01 02:06:41.799  4695        40.32         25
2023-03-01 02:06:42.002  4698        40.32         25
2023-03-01 02:06:42.205  4715        40.32         25
2023-03-01 02:06:42.424  4692        40.32         25
2023-03-01 02:06:42.642  4712        40.32         25
2023-03-01 02:06:42.799  4699        40.32         25
2023-03-01 02:06:43.017  4691        40.32         25
2023-03-01 02:06:43.220  4697        40.32         25
2023-03-01 02:06:43.423  4719        40.32         25
2023-03-01 02:06:43.642  4696        40.32         25
2023-03-01 02:06:43.845  4687        40.32         25
2023-03-01 02:06:44.048  4698        40.32         25
2023-03-01 02:06:44.252  4700        40.32         25
2023-03-01 02:06:44.455  4713        40.32         25
2023-03-01 02:06:44.658  4695        40.32         25
2023-03-01 02:06:44.877  4689        40.32         25
2023-03-01 02:06:45.095  4695        40.32         25
2023-03-01 02:06:45.298  4691        40.32         25
2023-03-01 02:06:45.501  4689        40.32         25
2023-03-01 02:06:45.720  4714        40.32         25
2023-03-01 02:06:45.923  4711        40.32         25
2023-03-01 02:06:46.142  4700        40.32         25
2023-03-01 02:06:46.345  4716        40.32         25
2023-03-01 02:06:46.548  4715        40.32         25
2023-03-01 02:06:46.720  4693        40.32         25
2023-03-01 02:06:46.939  4695        40.32         25
2023-03-01 02:06:47.142  4694        40.32         25
2023-03-01 02:06:47.361  4698        40.32         25
2023-03-01 02:06:47.548  4705        40.32         25
2023-03-01 02:06:47.767  4706        40.32         25
2023-03-01 02:06:47.970  4699        40.32         25
2023-03-01 02:06:48.173  4702        40.32         25
2023-03-01 02:06:48.376  4689        40.32         25
2023-03-01 02:06:48.579  4714        40.32         25
2023-03-01 02:06:48.798  4700        40.32         25
2023-03-01 02:06:49.017  4717        40.32         25
2023-03-01 02:06:49.220  4694        40.32         25
2023-03-01 02:06:49.439  4695        40.32         25
2023-03-01 02:06:49.642  4700        40.32         25
2023-03-01 02:06:49.845  4712        40.32         25
2023-03-01 02:06:50.064  4694        40.32         25
2023-03-01 02:06:50.267  4706        40.32         25
2023-03-01 02:06:50.470  4694        40.32         25
2023-03-01 02:06:50.642  4719        40.32         25
2023-03-01 02:06:50.860  4697        40.32         25
